replicate,root_seed,users,kind_users,controls,raw_gap_pp,raw_p_two_sided,fe_gap_pp,fe_p_two_sided,full_gap_pp,full_p_two_sided
82,20260826,497780,248890,248890,0.3137932419944554,4.082106800580965e-58,0.31379324199444963,3.23021685390438e-58,0.2761186382295731,9.238919736368574e-46
83,20260826,497786,248893,248893,0.3145930178831867,1.88224186755832e-58,0.31459301788318306,1.4640859854097853e-58,0.2744430484273085,4.9638862454931055e-45
84,20260826,497776,248888,248888,0.31419755070553823,2.7729245886588084e-58,0.3141975507055393,2.166326152559966e-58,0.2757894846598564,1.3907753540929086e-45
85,20260826,497786,248893,248893,0.320217924971775,7.667918016827719e-61,0.32021792497177476,5.9685458938496356e-61,0.2787822668711505,1.2966898585679962e-46
86,20260826,497796,248898,248898,0.30213179696100406,2.198795786668433e-53,0.3021317969610091,1.7625757004555072e-53,0.26361338552419156,2.475533415225864e-41
87,20260826,497782,248891,248891,0.2953099951384341,9.842702877862768e-51,0.29530999513843387,7.987681649238915e-51,0.25651562395230826,6.032515159489285e-39
88,20260826,497752,248876,248876,0.29572960028287176,6.912316719862704e-51,0.29572960028287054,5.61065782881245e-51,0.25689255649930665,5.858330181493972e-39
89,20260826,497796,248898,248898,0.3210150342710668,3.45142744365145e-61,0.3210150342710611,2.668039957933166e-61,0.28097170316144704,1.931670972040117e-47
90,20260826,497780,248890,248890,0.30334686005866046,7.329288250065881e-54,0.30334686005865613,5.898960989939433e-54,0.2630708085961161,3.936367849159329e-41
91,20260826,497804,248902,248902,0.30293047062699374,1.0578518101952068e-53,0.3029304706269868,8.499084755818013e-54,0.2631331762083876,6.501083301266392e-41
92,20260826,497784,248892,248892,0.29771949279205434,1.1685950534801878e-51,0.2977194927920573,9.41387128318842e-52,0.25525416508401366,1.460301760108565e-38
93,20260826,497800,248900,248900,0.2924869425472077,1.1453246485253915e-49,0.29248694254720803,9.270620321209713e-50,0.2522976664301988,2.2107609325270207e-37
94,20260826,497786,248893,248893,0.29972719200620346,1.9408816788691793e-52,0.29972719200620657,1.5593262157723896e-52,0.25944311275087806,8.612555409983304e-40
95,20260826,497770,248885,248885,0.30134399421419533,4.557098213987412e-53,0.30134399421419855,3.655872733651452e-53,0.25687985632276533,4.484949130630165e-39
96,20260826,497774,248887,248887,0.32745784231398184,5.206631263671164e-64,0.32745784231398073,3.989528487874588e-64,0.2907011031271877,4.353048117728278e-51
97,20260826,497762,248881,248881,0.31340279089203277,6.0047542903734994e-58,0.3134027908920363,4.6845600167054976e-58,0.2740324181846163,5.887104706033779e-45
98,20260826,497796,248898,248898,0.30213179696100406,2.198795786668433e-53,0.3021317969609937,1.7555518377649031e-53,0.2627595281915994,5.433254239069322e-41
99,20260826,497772,248886,248886,0.3093785910015027,2.735285996735942e-56,0.30937859100150567,2.127571800690804e-56,0.26944359256503436,3.1403861380730654e-43
100,20260826,497780,248890,248890,0.298123669090763,8.172326482218004e-52,0.29812366909076926,6.553518634519615e-52,0.2570460965610587,3.554728442258144e-39
