model,estimand_class,variable,primary_term,status,coefficient_pp,se_pp,statistic,p_two_sided_approx,ci95_low_pp,ci95_high_pp,covariance,opportunities,collapsed_rows,chooser_clusters,rank
patron_by_five_bin_desert_gradient,appendix_secondary,month_2025_09,False,estimated,-0.09421397517641239,0.02224797412432558,-4.234721536888176,2.2883509241372254e-05,-0.13781920318906957,-0.050608747163755206,CR1_chooser,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,month_2025_10,False,estimated,-0.041589995200407515,0.02221659159423193,-1.8720241142302623,0.0612032674325499,-0.0851337145843374,0.001953724183522368,CR1_chooser,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,speed_bullet,False,estimated,0.5296287185792146,0.020692352188031116,25.595384892277387,1.7171491441332066e-144,0.48907245353525497,0.5701849836231742,CR1_chooser,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,speed_classical_long,False,estimated,0.7673719973565141,0.05505194320014256,13.939053787197231,3.667703873726458e-44,0.6594721714052899,0.8752718233077382,CR1_chooser,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,speed_rapid,False,estimated,0.056075225834583575,0.01725643555625403,3.2495254104930695,0.0011559775005995955,0.022253233642789264,0.08989721802637789,CR1_chooser,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,speed_ultrabullet,False,estimated,7.252875963068277,2.2602644283077162,3.2088617031851365,0.0013326157402314062,2.8228390880481387,11.682912838088416,CR1_chooser,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,chooser_clock_05_15,False,estimated,-0.8662941862487514,0.08857091027994561,-9.780798046566982,1.361328686166878e-22,-1.0398899804753732,-0.6926983920221296,CR1_chooser,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,chooser_clock_15_30,False,estimated,-1.2453751048610684,0.08663222396245149,-14.375425769986515,7.381470957279087e-47,-1.4151711437280812,-1.0755790659940556,CR1_chooser,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,chooser_clock_180_plus,False,estimated,-1.788815205243509,0.08731036409062298,-20.48800533447352,2.75449217056977e-93,-1.9599403743382091,-1.6176900361488087,CR1_chooser,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,chooser_clock_30_60,False,estimated,-1.3803248095925937,0.08638367812252805,-15.979000195322987,1.7899381345311816e-57,-1.5496337075648494,-1.211015911620338,CR1_chooser,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,chooser_clock_60_180,False,estimated,-1.6183372279876949,0.08656185588230196,-18.695731641753913,5.36297600411662e-78,-1.7879953479519533,-1.4486791080234365,CR1_chooser,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,disconnected_clock_15_30,False,estimated,-0.49124460916596036,0.06673639646490281,-7.360969953244474,1.8257866386555743e-13,-0.6220455426951561,-0.36044367563676466,CR1_chooser,32858962,29562512,1305683,55
patron_by_five_bin_desert_gradient,appendix_secondary,disconnected_clock_180_plus,False,estimated,0.6862272722976286,0.06947567905149793,9.877230156886581,5.2257378955665724e-23,0.5500574435552288,0.8223971010400284,CR1_chooser,32858962,29562512,1305683,55
